income,etr_nominal,etr_deflated
1000,0,0
2000,0,0
3000,0,0
4000,0,0
5000,0,0
6000,0,0
7000,0,0
8000,0,0
9000,0,0
10000,0,0
11000,0,0
12000,0,0
13000,0,0
14000,0,0
15000,0,0.00904095386210472
16000,0,0.0184758942457232
17000,0,0.0268008416430336
18000,0,0.0342007948850873
19000,0.00673684210526316,0.040821805680609
20000,0.0144,0.0467807153965785
21000,0.0213333333333333,0.0521721099015034
22000,0.0276363636363636,0.060855365474339
23000,0.0333913043478261,0.06951382784502
24000,0.0386666666666667,0.0774507516848108
25000,0.04352,0.0847527216174184
26000,0.048,0.09149300155521
27000,0.0521481481481481,0.0961338632567248
28000,0.0587785714285714,0.0991290824261275
29000,0.0657172413793103,0.101917734756261
30000,0.0721933333333334,0.104520476931052
31000,0.0782516129032258,0.106955300255857
32000,0.08393125,0.109237947122862
33000,0.0892666666666667,0.111382251755502
34000,0.0942882352941177,0.113400420821517
35000,0.0968,0.115334370139969
36000,0.0991111111111111,0.12101952652497
37000,0.101297297297297,0.12639737715943
38000,0.103368421052632,0.131492183023656
39000,0.105333333333333,0.13632571679228
40000,0.1072,0.140917573872473
41000,0.108975609756098,0.145285437924364
42000,0.110666666666667,0.149445308449974
43000,0.112279069767442,0.153411696625556
44000,0.113818181818182,0.157197794429521
45000,0.115288888888889,0.160815621219976
46000,0.119739130434783,0.164276151193455
47000,0.124,0.167589424572317
48000,0.128083333333333,0.170764644893727
49000,0.132,0.173810264385692
50000,0.13576,0.176734059097978
51000,0.139372549019608,0.179543195194096
52000,0.142846153846154,0.18224428759421
53000,0.146188679245283,0.184843451979225
54000,0.149407407407407,0.187346351016647
55000,0.152509090909091,0.189758235543617
56000,0.1555,0.192083981337481
57000,0.158385964912281,0.19432812201577
58000,0.161172413793103,0.19649487853274
59000,0.163864406779661,0.198588185676253
60000,0.166466666666667,0.200611715914982
61000,0.168983606557377,0.202568900899982
62000,0.17141935483871,0.204462950885466
63000,0.173777777777778,0.206296872299983
64000,0.1760625,0.208073483670296
65000,0.178276923076923,0.209795430075368
66000,0.180424242424242,0.211465196286347
67000,0.182507462686567,0.213085118729834
68000,0.184529411764706,0.214657396395572
69000,0.186492753623188,0.216184100795636
70000,0.1884,0.217667185069984
71000,0.190253521126761,0.21910849232252
72000,0.192055555555556,0.220509763262485
73000,0.193808219178082,0.221872643217793
74000,0.195513513513514,0.223198688579715
75000,0.197173333333333,0.224489372731985
76000,0.198789473684211,0.225746091511828
77000,0.200363636363636,0.22697016824544
78000,0.201897435897436,0.22816285839614
79000,0.203392405063291,0.22932535385948
80000,0.20485,0.230458786936236
81000,0.206271604938272,0.231564234011098
82000,0.207658536585366,0.232642718962182
83000,0.209012048192771,0.233695216324083
84000,0.210333333333333,0.234722654224987
85000,0.211623529411765,0.235725917116458
86000,0.212883720930233,0.236705848312778
87000,0.214114942528736,0.23766325235516
88000,0.215318181818182,0.23859889721476
89000,0.216494382022472,0.239513516347179
90000,0.217644444444444,0.240407810609988
91000,0.218769230769231,0.241282450053834
92000,0.219869565217391,0.242138075596727
93000,0.22094623655914,0.242975300590311
94000,0.222,0.243794712286159
95000,0.223031578947368,0.244596873209462
96000,0.224041666666667,0.245382322446864
97000,0.225030927835052,0.246151576854628
98000,0.226,0.246905132192846
99000,0.226949494949495,0.247643464190898
1e+05,0.22788,0.248367029548989
101000,0.228792079207921,0.249076266880187
102000,0.229686274509804,0.249771597597048
103000,0.230563106796117,0.250453426746591
104000,0.231423076923077,0.251122143797105
105000,0.232266666666667,0.251793675479523
106000,0.233094339622642,0.253097508729716
107000,0.233906542056075,0.254376971264953
108000,0.234703703703704,0.255632740049536
109000,0.23548623853211,0.256865467205045
110000,0.236254545454545,0.258075781139545
111000,0.237009009009009,0.259264287615765
112000,0.23775,0.260431570762053
113000,0.238477876106195,0.261578194029645
114000,0.23919298245614,0.262704701099561
115000,0.239895652173913,0.263811616742173
116000,0.240586206896552,0.264899447632327
117000,0.241264957264957,0.265968683122649
118000,0.241932203389831,0.267019795977542
119000,0.242588235294118,0.268053243070167
120000,0.243233333333333,0.269069466044583
121000,0.243867768595041,0.270068891945041
122000,0.244491803278689,0.271051933814344
123000,0.245105691056911,0.272018991263008
124000,0.245709677419355,0.272970451010886
125000,0.246304,0.273906687402799
126000,0.246888888888889,0.274828062899603
127000,0.247464566929134,0.275734928546062
128000,0.24803125,0.276627624416796
129000,0.248589147286822,0.277506480041472
130000,0.249138461538462,0.278371814810384
131000,0.249679389312977,0.27922393836145
132000,0.250212121212121,0.280063150949621
133000,0.250736842105263,0.280889743799623
134000,0.251253731343284,0.28170399944291
135000,0.251762962962963,0.282506192039629
136000,0.252779411764706,0.283296587686396
137000,0.25378102189781,0.284075444710583
138000,0.254768115942029,0.284843013951811
139000,0.255741007194245,0.285599539031294
140000,0.2567,0.286345256609642
141000,0.257645390070922,0.287080396633687
142000,0.258577464788732,0.287805182572887
143000,0.259496503496504,0.288519831645804
144000,0.260402777777778,0.289224555037152
145000,0.261296551724138,0.289919558105862
146000,0.262178082191781,0.290605040584589
147000,0.263047619047619,0.291281196771088
148000,0.263905405405405,0.292086082972553
149000,0.264751677852349,0.293280136106965
150000,0.265586666666667,0.294458268532919
151000,0.26641059602649,0.295620796555879
152000,0.267223684210526,0.296768028157485
153000,0.26802614379085,0.297900263267567
154000,0.268818181818182,0.29901779402557
155000,0.2696,0.300120905031857
156000,0.270371794871795,0.301209873589345
157000,0.271133757961783,0.30228496993591
158000,0.271886075949367,0.303346457467961
159000,0.27262893081761,0.304394592955584
160000,0.2733625,0.305429626749611
161000,0.274086956521739,0.30645180298098
162000,0.274802469135802,0.307461359752702
163000,0.275509202453988,0.308458529324772
164000,0.276207317073171,0.309443538292304
165000,0.27689696969697,0.310416607757199
166000,0.277578313253012,0.311377953493601
167000,0.278251497005988,0.312327786107412
168000,0.278916666666667,0.313266311190106
169000,0.279573964497041,0.314193729467088
170000,0.280223529411765,0.315110236940811
171000,0.280865497076023,0.316016025028876
172000,0.2815,0.316911280697313
173000,0.282127167630058,0.317796186589236
174000,0.282747126436782,0.318670921149068
175000,0.28336,0.319535658742502
176000,0.283965909090909,0.320390569772374
177000,0.284564971751412,0.321235820790609
178000,0.285157303370787,0.322071574606392
179000,0.285743016759777,0.322897990390714
180000,0.286322222222222,0.323715223777432
181000,0.286895027624309,0.324523426960982
182000,0.287461538461538,0.325322748790867
183000,0.288021857923497,0.326113334863048
184000,0.288576086956522,0.326895327608358
185000,0.289124324324324,0.327668866378042
186000,0.289666666666667,0.328434087526547
187000,0.29020320855615,0.329191124491646
188000,0.290734042553191,0.32994010787201
189000,0.291259259259259,0.330681165502316
190000,0.291778947368421,0.331414422525988
191000,0.292712041884817,0.332140001465643
192000,0.293635416666667,0.332858022291343
193000,0.294549222797927,0.333568602486724
194000,0.295453608247423,0.334271857113081
195000,0.296348717948718,0.334967898871476
196000,0.297234693877551,0.335656838162948
197000,0.298111675126904,0.336338783146892
198000,0.298979797979798,0.337013839797666
199000,0.2998391959799,0.337682111959486
2e+05,0.30069,0.338343701399689
